eval_id,expected_moq_attainment_ratio,expected_supply_coverage_ratio,expected_moq_status,expected_supply_status,expected_request_result,primary_scenario,scenario_tags
SELLER_EVAL_015,1.75,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_016,1.8,2.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_017,1.85,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_018,1.9,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_019,1.95,2.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_020,2.0,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_MET,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_021,0.975,2.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_022,0.95,0.8,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_023,0.925,1.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_024,0.9,2.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_025,0.875,0.8,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_026,0.85,1.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_027,0.825,2.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_028,0.8,0.8,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_029,0.775,1.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_030,0.75,2.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_031,0.725,0.8,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_032,0.7,1.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_033,0.675,2.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_034,0.65,0.8,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_035,0.625,1.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_NOT_MET,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_036,1.0,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_EXACT,MOQ_EXACT|MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_037,1.0,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_EXACT,MOQ_EXACT|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_038,1.0,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_EXACT,MOQ_EXACT|MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_039,1.0,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_EXACT,MOQ_EXACT|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_040,1.0,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_EXACT,MOQ_EXACT|MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_041,1.0,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_EXACT,MOQ_EXACT|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_042,1.0,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_EXACT,MOQ_EXACT|MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_043,1.0,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_EXACT,MOQ_EXACT|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_044,1.0,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,MOQ_EXACT,MOQ_EXACT|MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_045,1.0,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,MOQ_EXACT,MOQ_EXACT|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_046,1.1,1.5,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,SUPPLY_SUFFICIENT,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_047,0.5,1.5,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,SUPPLY_SUFFICIENT,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_048,1.3,1.5,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,SUPPLY_SUFFICIENT,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_049,0.5,1.5,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,SUPPLY_SUFFICIENT,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_050,1.5,1.5,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,SUPPLY_SUFFICIENT,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_051,0.5,1.5,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,SUPPLY_SUFFICIENT,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_052,1.7,1.5,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,SUPPLY_SUFFICIENT,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_053,0.5,1.5,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,SUPPLY_SUFFICIENT,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_054,1.9,1.5,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,SUPPLY_SUFFICIENT,MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_055,0.5,1.5,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,SUPPLY_SUFFICIENT,MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_056,2.1,0.7,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_057,0.5,0.7,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_058,2.3,0.7,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_059,0.5,0.7,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_060,2.5,0.7,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_061,0.5,0.7,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_062,2.7,0.7,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_063,0.5,0.7,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_064,2.9,0.7,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_065,0.5,0.7,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_066,3.1,0.7,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_067,0.5,0.7,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_068,3.3,0.7,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_069,0.5,0.7,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_070,3.5,0.7,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,SUPPLY_INSUFFICIENT,MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_071,0.5,1.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,LOW_DEMAND,LOW_DEMAND|MIN_PARTICIPANTS|MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_072,0.6,1.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,LOW_DEMAND,LOW_DEMAND|MIN_PARTICIPANTS|MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_073,0.7,2.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,LOW_DEMAND,LOW_DEMAND|MIN_PARTICIPANTS|MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_074,0.8,0.5,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,LOW_DEMAND,LOW_DEMAND|MIN_PARTICIPANTS|MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_075,0.9,1.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,LOW_DEMAND,LOW_DEMAND|MIN_PARTICIPANTS|MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_076,1.0,0.5,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,LOW_DEMAND,LOW_DEMAND|MIN_PARTICIPANTS|MOQ_EXACT|MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_077,0.24,2.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,LOW_DEMAND,LOW_DEMAND|MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_078,0.16,1.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,LOW_DEMAND,LOW_DEMAND|MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_079,0.5,0.4,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,LOW_DEMAND,LOW_DEMAND|MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_080,0.4,2.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,LOW_DEMAND,LOW_DEMAND|MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_081,1.0,2.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,HIGH_DEMAND,HIGH_DEMAND|MOQ_EXACT|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_082,2.0,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,HIGH_DEMAND,HIGH_DEMAND|MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_083,3.0,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,HIGH_DEMAND,HIGH_DEMAND|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_084,4.0,2.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,HIGH_DEMAND,HIGH_DEMAND|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_085,5.0,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,HIGH_DEMAND,HIGH_DEMAND|MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_086,6.0,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,HIGH_DEMAND,HIGH_DEMAND|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_087,7.0,2.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,HIGH_DEMAND,HIGH_DEMAND|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_088,8.0,0.8,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,HIGH_DEMAND,HIGH_DEMAND|MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_089,9.0,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,HIGH_DEMAND,HIGH_DEMAND|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_090,10.0,2.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,HIGH_DEMAND,HIGH_DEMAND|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_091,1.0,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,BOUNDARY_OR_INVALID,BOUNDARY|BOUNDARY_OR_INVALID|LOW_DEMAND|MIN_PARTICIPANTS|MOQ_EXACT|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_092,1.0,0.999,MOQ_MET,SUPPLY_INSUFFICIENT,SUCCESS,BOUNDARY_OR_INVALID,BOUNDARY|BOUNDARY_OR_INVALID|MOQ_EXACT|MOQ_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_093,0.999,1.0,MOQ_NOT_MET,SUPPLY_SUFFICIENT,SUCCESS,BOUNDARY_OR_INVALID,BOUNDARY|BOUNDARY_OR_INVALID|MOQ_NOT_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_094,10000.0,1.0,MOQ_MET,SUPPLY_SUFFICIENT,SUCCESS,BOUNDARY_OR_INVALID,BOUNDARY|BOUNDARY_OR_INVALID|HIGH_DEMAND|MIN_PARTICIPANTS|MOQ_MET|SUPPLY_SUFFICIENT
SELLER_EVAL_095,0.5,0.8,MOQ_NOT_MET,SUPPLY_INSUFFICIENT,SUCCESS,BOUNDARY_OR_INVALID,BOUNDARY|BOUNDARY_OR_INVALID|LOW_DEMAND|MIN_PARTICIPANTS|MOQ_NOT_MET|SUPPLY_INSUFFICIENT
SELLER_EVAL_096,,,,,REJECTED,BOUNDARY_OR_INVALID,BOUNDARY_OR_INVALID|INVALID_INPUT|NON_POSITIVE_QUANTITY
SELLER_EVAL_097,,,,,REJECTED,BOUNDARY_OR_INVALID,BOUNDARY_OR_INVALID|INVALID_INPUT|WRONG_DATA_TYPE
SELLER_EVAL_098,,,,,REJECTED,BOUNDARY_OR_INVALID,BOUNDARY_OR_INVALID|INVALID_INPUT|MISSING_REQUIRED_FIELD
SELLER_EVAL_099,,,,,REJECTED,BOUNDARY_OR_INVALID,BOUNDARY_OR_INVALID|INVALID_INPUT|UNDECLARED_EXTRA_FIELD
SELLER_EVAL_100,,,,,REJECTED,BOUNDARY_OR_INVALID,BOUNDARY_OR_INVALID|INVALID_INPUT|PII_FIELD
