case_id,split_candidate,category_id,category_name,extra_requirement,is_substitutable,proposed_expected_status,proposed_expected_mode,proposed_expected_constraints,proposed_expected_preference_groups,scenario_type,grounding_source,generation_reason,candidate_origin,source_reference,existing_test_case_id,parser_exposure,evaluation_partition_candidate,reviewer_status,corrected_expected_status,corrected_expected_mode,corrected_expected_constraints,corrected_expected_preference_groups,proposed_expected_effective_requirement_mode,corrected_expected_effective_requirement_mode,proposed_expected_passthrough_text,corrected_expected_passthrough_text,reviewer_note,expected_effective_requirement_mode,expected_passthrough_text
part-a-v2-2-163,CHALLENGE,health-functional-food:red_ginseng,홍삼·인삼,"인삼 포함은 필수이고, 인삼제품 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""functional_ingredients"",""value_code"":3,""value"":""인삼"",""constraint_type"":""MUST""},{""facet_name"":""functional_ingredients"",""value_code"":4,""value"":""인삼제품"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-164,CHALLENGE,health-functional-food:skin_collagen,피부·콜라겐,"감마리놀렌산 함유 유지 포함은 필수이고, 저분자콜라겐펩타이드 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""functional_ingredients"",""value_code"":4,""value"":""감마리놀렌산 함유 유지"",""constraint_type"":""MUST""},{""facet_name"":""functional_ingredients"",""value_code"":5,""value"":""저분자콜라겐펩타이드"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-165,CHALLENGE,health-functional-food:theanine_sleep,테아닌·수면,"미강주정추출물 포함은 필수이고, 유단백가수분해물(락티움) 포함은 선호합니다.",true,PARSED,MIXED,"[{""facet_name"":""functional_ingredients"",""value_code"":7,""value"":""미강주정추출물"",""constraint_type"":""MUST""},{""facet_name"":""functional_ingredients"",""value_code"":8,""value"":""유단백가수분해물(락티움)"",""constraint_type"":""PREFER""}]",[],MULTI_CONSTRAINT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-166,CHALLENGE,health-functional-food:vitamin_mineral,비타민·미네랄,비타민 C 또는 비타민 D 중 하나면 괜찮아요.,true,PARSED,ANY_OF,[],"[{""operator"":""ANY_OF"",""aggregation"":""MAX"",""members"":[{""facet_name"":""functional_ingredients"",""value_code"":1,""value"":""비타민 C"",""constraint_type"":""PREFER""},{""facet_name"":""functional_ingredients"",""value_code"":2,""value"":""비타민 D"",""constraint_type"":""PREFER""}]}]",ANY_OF_CANDIDATE,V2.2 canonical values + runtime policy fixture,Alternative-value policy candidate; parser output must be verified by a reviewer.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-167,CHALLENGE,health-functional-food:blood_sugar_metabolic,혈당·대사,"바나바잎 추출물 또는 녹차추출물, 바나바잎 추출물 중 하나면 괜찮아요.",true,PARSED,ANY_OF,[],"[{""operator"":""ANY_OF"",""aggregation"":""MAX"",""members"":[{""facet_name"":""functional_ingredients"",""value_code"":1,""value"":""바나바잎 추출물"",""constraint_type"":""PREFER""},{""facet_name"":""functional_ingredients"",""value_code"":2,""value"":""녹차추출물, 바나바잎 추출물"",""constraint_type"":""PREFER""}]}]",ANY_OF_CANDIDATE,V2.2 canonical values + runtime policy fixture,Alternative-value policy candidate; parser output must be verified by a reviewer.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-168,CHALLENGE,health-functional-food:dietary_fiber,식이섬유·체중관리,차전자피식이섬유 또는 가르시니아캄보지아 추출물 중 하나면 괜찮아요.,true,PARSED,ANY_OF,[],"[{""operator"":""ANY_OF"",""aggregation"":""MAX"",""members"":[{""facet_name"":""functional_ingredients"",""value_code"":1,""value"":""차전자피식이섬유"",""constraint_type"":""PREFER""},{""facet_name"":""functional_ingredients"",""value_code"":2,""value"":""가르시니아캄보지아 추출물"",""constraint_type"":""PREFER""}]}]",ANY_OF_CANDIDATE,V2.2 canonical values + runtime policy fixture,Alternative-value policy candidate; parser output must be verified by a reviewer.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-169,CHALLENGE,health-functional-food:eye_health,눈 건강,1일 1회 또는 1일 2회면 괜찮아요.,true,PARSED,ANY_OF,[],"[{""operator"":""ANY_OF"",""aggregation"":""MAX"",""members"":[{""facet_name"":""daily_frequency"",""value_code"":1,""value"":""1일 1회"",""constraint_type"":""PREFER""},{""facet_name"":""daily_frequency"",""value_code"":2,""value"":""1일 2회"",""constraint_type"":""PREFER""}]}]",ANY_OF_CANDIDATE,V2.2 canonical values + runtime policy fixture,Alternative-value policy candidate; parser output must be verified by a reviewer.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-170,CHALLENGE,health-functional-food:heart_blood,혈행·혈압 건강,1일 1회 또는 1일 2회 중 하나면 괜찮아요.,true,PARSED,ANY_OF,[],"[{""operator"":""ANY_OF"",""aggregation"":""MAX"",""members"":[{""facet_name"":""daily_frequency"",""value_code"":1,""value"":""1일 1회"",""constraint_type"":""PREFER""},{""facet_name"":""daily_frequency"",""value_code"":2,""value"":""1일 2회"",""constraint_type"":""PREFER""}]}]",ANY_OF_CANDIDATE,V2.2 canonical values + runtime policy fixture,Alternative-value policy candidate; parser output must be verified by a reviewer.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-171,CHALLENGE,health-functional-food:joint_health,관절·연골 건강,1일 2회 또는 1일 1회면 괜찮아요.,true,PARSED,ANY_OF,[],"[{""operator"":""ANY_OF"",""aggregation"":""MAX"",""members"":[{""facet_name"":""daily_frequency"",""value_code"":1,""value"":""1일 2회"",""constraint_type"":""PREFER""},{""facet_name"":""daily_frequency"",""value_code"":2,""value"":""1일 1회"",""constraint_type"":""PREFER""}]}]",ANY_OF_CANDIDATE,V2.2 canonical values + runtime policy fixture,Alternative-value policy candidate; parser output must be verified by a reviewer.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-172,CHALLENGE,health-functional-food:liver_health,간 건강,정 또는 캡슐 중 하나면 괜찮아요.,true,PARSED,ANY_OF,[],"[{""operator"":""ANY_OF"",""aggregation"":""MAX"",""members"":[{""facet_name"":""product_form"",""value_code"":1,""value"":""정"",""constraint_type"":""PREFER""},{""facet_name"":""product_form"",""value_code"":2,""value"":""캡슐"",""constraint_type"":""PREFER""}]}]",ANY_OF_CANDIDATE,V2.2 canonical values + runtime policy fixture,Alternative-value policy candidate; parser output must be verified by a reviewer.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-173,CHALLENGE,health-functional-food:male_health,남성 건강,캡슐 또는 분말이면 괜찮아요.,true,PARSED,ANY_OF,[],"[{""operator"":""ANY_OF"",""aggregation"":""MAX"",""members"":[{""facet_name"":""product_form"",""value_code"":1,""value"":""캡슐"",""constraint_type"":""PREFER""},{""facet_name"":""product_form"",""value_code"":2,""value"":""분말"",""constraint_type"":""PREFER""}]}]",ANY_OF_CANDIDATE,V2.2 canonical values + runtime policy fixture,Alternative-value policy candidate; parser output must be verified by a reviewer.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-174,CHALLENGE,health-functional-food:omega_fatty_acid,오메가·지방산,개별 포장이라 휴대하기 편하면 좋겠어요.,true,PASSTHROUGH,NONE,[],[],PASSTHROUGH_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,SEMANTIC_TEXT,,개별 포장이라 휴대하기 편하면 좋겠어요.,,,SEMANTIC_TEXT,개별 포장이라 휴대하기 편하면 좋겠어요.
part-a-v2-2-175,CHALLENGE,health-functional-food:other_functional,기타 기능성 건강식품,섭취 후 속이 편안하면 좋겠어요.,true,PASSTHROUGH,NONE,[],[],PASSTHROUGH_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,SEMANTIC_TEXT,,섭취 후 속이 편안하면 좋겠어요.,,,SEMANTIC_TEXT,섭취 후 속이 편안하면 좋겠어요.
part-a-v2-2-176,CHALLENGE,health-functional-food:probiotics,유산균·프로바이오틱스,맛이 강하지 않고 부담 없으면 좋겠어요.,true,PASSTHROUGH,NONE,[],[],PASSTHROUGH_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,SEMANTIC_TEXT,,맛이 강하지 않고 부담 없으면 좋겠어요.,,,SEMANTIC_TEXT,맛이 강하지 않고 부담 없으면 좋겠어요.
part-a-v2-2-177,CHALLENGE,health-functional-food:propolis,프로폴리스,보관하기 쉬운 포장이면 좋겠어요.,true,PASSTHROUGH,NONE,[],[],PASSTHROUGH_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,SEMANTIC_TEXT,,보관하기 쉬운 포장이면 좋겠어요.,,,SEMANTIC_TEXT,보관하기 쉬운 포장이면 좋겠어요.
part-a-v2-2-178,CHALLENGE,health-functional-food:protein,단백질,물에 잘 섞이면 좋겠어요.,true,PASSTHROUGH,NONE,[],[],PASSTHROUGH_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,SEMANTIC_TEXT,,물에 잘 섞이면 좋겠어요.,,,SEMANTIC_TEXT,물에 잘 섞이면 좋겠어요.
part-a-v2-2-179,CHALLENGE,health-functional-food:red_ginseng,홍삼·인삼,알약이 작아 삼키기 편하면 좋겠어요.,true,PASSTHROUGH,NONE,[],[],PASSTHROUGH_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,SEMANTIC_TEXT,,알약이 작아 삼키기 편하면 좋겠어요.,,,SEMANTIC_TEXT,알약이 작아 삼키기 편하면 좋겠어요.
part-a-v2-2-180,CHALLENGE,health-functional-food:skin_collagen,피부·콜라겐,"겔은 반드시 포함하고, 겔은 제외해주세요.",true,CONFLICT,NONE,[],[],CONFLICT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-181,CHALLENGE,health-functional-food:theanine_sleep,테아닌·수면,"감태추출물은 반드시 포함하고, 감태추출물은 제외해주세요.",true,CONFLICT,NONE,[],[],CONFLICT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-182,CHALLENGE,health-functional-food:vitamin_mineral,비타민·미네랄,"액상은 반드시 포함하고, 액상은 제외해주세요.",true,CONFLICT,NONE,[],[],CONFLICT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-183,CHALLENGE,health-functional-food:blood_sugar_metabolic,혈당·대사,"녹차추출물, 바나바잎 추출물 조합은 반드시 포함하고, 같은 조합은 제외해주세요.",true,CONFLICT,NONE,[],[],CONFLICT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-184,CHALLENGE,health-functional-food:dietary_fiber,식이섬유·체중관리,"과립은 반드시 포함하고, 과립은 제외해주세요.",true,CONFLICT,NONE,[],[],CONFLICT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-185,CHALLENGE,health-functional-food:eye_health,눈 건강,"마리골드꽃추출물, 베타카로틴 조합은 반드시 포함하고, 같은 조합은 제외해주세요.",true,CONFLICT,NONE,[],[],CONFLICT_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-186,CHALLENGE,health-functional-food:heart_blood,혈행·혈압 건강,조건을 여러 가지로 생각 중인데 어떤 기준이 맞을지 아직 모르겠어요.,true,REVIEW,NONE,[],[],REVIEW_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-187,CHALLENGE,health-functional-food:joint_health,관절·연골 건강,아직 원하는 조건을 정하지 못해서 비교 기준을 고민하고 있어요.,true,REVIEW,NONE,[],[],REVIEW_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-188,CHALLENGE,health-functional-food:liver_health,간 건강,여러 조건 중 무엇을 우선할지 결정하지 못했어요.,true,REVIEW,NONE,[],[],REVIEW_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
part-a-v2-2-189,CHALLENGE,health-functional-food:male_health,남성 건강,구매 조건을 더 생각해 본 뒤에 정하고 싶어요.,true,REVIEW,NONE,[],[],REVIEW_CANDIDATE,V2.2 canonical values + runtime policy fixture,Runtime edge-case candidate; proposed status is not an automatic Gold label.,NEW_CHALLENGE_CANDIDATE,config/facet_taxonomy_v2_2.json; runtime policy fixture,,NEW_UNSEEN_CANDIDATE,CHALLENGE,APPROVED,,,,,NONE,,,,,NONE,
