case_id,partition,category_id,extra_requirement,expected_json,actual_json,status_match,parser_mode_match,effective_mode_match,constraints_match,preference_groups_match,passthrough_match,row_pass
part-a-v2-2-024,DEV,health-functional-food:probiotics,"1일 4회는 빼지 마세요, 다른 횟수 옵션들도 같이 검토해 봐주세요.","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-025,DEV,health-functional-food:eye_health,환은 제거하지 말고 나머지 다른 형태들도 비교해 봐주세요.,"{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-026,DEV,health-functional-food:protein,분말은 빼지 마세요. 그 외 후보들도 같이 따져 봐주세요.,"{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-027,DEV,health-functional-food:probiotics,"젤리는 제외하지 말고, 다른 후보들도 한번 검토해 봐줘.","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-028,DEV,health-functional-food:eye_health,"루테인 제품은 빼지 말고, 나머지 다른 후보들도 좀 따져 봐주세요.","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-029,DEV,health-functional-food:eye_health,"캡슐 제거하지 말고, 캡슐로 반드시 포함해 주세요.","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":1,""value"":""캡슐"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":1,""value"":""캡슐"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-030,DEV,health-functional-food:protein,"비오틴 빼지 말고, 비오틴은 꼭 선택해 주세요.","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""functional_ingredients"",""value_code"":2,""value"":""비오틴"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""functional_ingredients"",""value_code"":2,""value"":""비오틴"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-031,DEV,health-functional-food:probiotics,"젤리는 제거하지 말고, 젤리로 반드시 포함해 주세요.","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":6,""value"":""젤리"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":6,""value"":""젤리"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-032,DEV,health-functional-food:protein,"분말 빼지 말고, 분말로 꼭 선택해 주세요.","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":1,""value"":""분말"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":1,""value"":""분말"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-033,DEV,health-functional-food:eye_health,"가능하면 액상이 안 들어간 쪽이 나을 것 같긴 한데, 생각해보니 역시 액상은 꼭 포함돼야 할 것 같아요.","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":6,""value"":""액상"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":6,""value"":""액상"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-034,DEV,health-functional-food:protein,"될 수 있으면 바 형태가 안 들어간 쪽이 좀 더 나을 것 같긴 했는데, 최종적으로는 바가 반드시 포함되어야 합니다.","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":8,""value"":""바"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":8,""value"":""바"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-035,DEV,health-functional-food:probiotics,가능하다면 과립이 안 들어간 쪽이 낫겠어요.,"{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-036,DEV,health-functional-food:probiotics,누가 과립은 무조건 포함 금지라고 했거든요.,"{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-037,DEV,health-functional-food:eye_health,캡슐 포함 필수입니다.,"{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":1,""value"":""캡슐"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":1,""value"":""캡슐"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-038,DEV,health-functional-food:protein,비오틴 성분은 반드시 포함되어야 합니다.,"{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""functional_ingredients"",""value_code"":2,""value"":""비오틴"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""functional_ingredients"",""value_code"":2,""value"":""비오틴"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-039,DEV,health-functional-food:probiotics,젤리 타입으로 반드시 포함해 주세요.,"{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":6,""value"":""젤리"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""MUST"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":6,""value"":""젤리"",""constraint_type"":""MUST""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-040,DEV,health-functional-food:protein,가능하면 분말 형태를 포함하는 편이 좋겠습니다.,"{""status"":""PARSED"",""parser_mode"":""PREFER"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":1,""value"":""분말"",""constraint_type"":""PREFER""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""PREFER"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""product_form"",""value_code"":1,""value"":""분말"",""constraint_type"":""PREFER""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-041,DEV,health-functional-food:eye_health,될 수 있으면 루테인 제품을 포함하는 편이 좋겠습니다.,"{""status"":""PARSED"",""parser_mode"":""PREFER"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""functional_ingredients"",""value_code"":9,""value"":""루테인 제품"",""constraint_type"":""PREFER""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""PREFER"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""functional_ingredients"",""value_code"":9,""value"":""루테인 제품"",""constraint_type"":""PREFER""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-042,DEV,health-functional-food:probiotics,가능하면 1일 2회 섭취하는 제품으로 구성되는 편이 좋겠어요.,"{""status"":""PARSED"",""parser_mode"":""PREFER"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""daily_frequency"",""value_code"":2,""value"":""1일 2회"",""constraint_type"":""PREFER""}],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""PARSED"",""parser_mode"":""PREFER"",""effective_requirement_mode"":""STRUCTURED"",""constraints"":[{""facet_name"":""daily_frequency"",""value_code"":2,""value"":""1일 2회"",""constraint_type"":""PREFER""}],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-043,DEV,health-functional-food:eye_health,"액상을 제외하지 말고, 그 외의 다른 후보들도 함께 검토해 주세요.","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-044,DEV,health-functional-food:protein,"비오틴을 빼지 말고, 나머지 대안들도 같이 따져 보고 싶습니다.","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-045,DEV,health-functional-food:probiotics,"과립을 제거하지 마시고, 그 외의 제형들도 다양하게 비교해 보았으면 합니다.","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-046,DEV,health-functional-food:protein,"바를 제외하지 말고, 다른 형태의 제품들도 추가로 검토해 주시기 바랍니다.","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
part-a-v2-2-047,DEV,health-functional-food:eye_health,"1일 1회 복용하는 조건을 빼지 말고, 그 외의 섭취 횟수 옵션들도 함께 따져 보고 싶어요.","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}","{""status"":""REVIEW"",""parser_mode"":""NONE"",""effective_requirement_mode"":""NONE"",""constraints"":[],""preference_groups"":[],""passthrough_text"":""""}",True,True,True,True,True,True,True
